snapshot_date,universe_id,game_name,genre,genre_l1,genre_l2,playing_ccu,total_visits,favorited_count,up_votes,down_votes,like_ratio,favorites_per_1k_visits,favorites_per_visit,engagement_score,created_date,age_days,tier,is_breakout,breakout_year,ccu_rank
2026-03-19,383310974,[🍭] Adopt Me!,RPG,Roleplay & Avatar Sim,Pet Care,396822,42684765966,28637753,8855406,1497604,0.8553,0.6709,0.00067091,0.0073978,2017-07-14,3169,top,True,2019,1
2026-03-19,1686885941,Brookhaven 🏡RP,Town and City,Roleplay & Avatar Sim,Life,374172,80119611633,26592103,7822409,1284146,0.859,0.3319,0.00033191,0.00365856,2020-04-21,2158,top,True,2020,2
2026-03-19,994732206,Blox Fruits,Adventure,RPG,Action RPG,249021,59889255685,18265812,11784106,1023013,0.9201,0.305,0.00030499,0.00348692,2019-01-16,2619,top,True,2021,3
2026-03-19,6035872082,[🍀] RIVALS,FPS,Shooter,Deathmatch Shooter,182252,12835176914,64780635,8757855,511475,0.9448,5.0471,0.00504712,0.05776302,2024-05-26,661,breakout,True,2025,4
2026-03-19,66654135,Murder Mystery 2,Horror,Survival,1 vs All,129216,24469383585,21385271,9346507,945601,0.9081,0.874,0.00087396,0.00934083,2014-01-18,4442,top,True,2017,5
2026-03-19,3808081382,The Strongest Battlegrounds,Fighting,Action,Battlegrounds & Fighting,75843,17198404054,6653404,4853644,937042,0.8382,0.3869,0.00038686,0.00364353,2022-08-02,1324,breakout,True,2024,6
2026-03-19,601130232,Bee Swarm Simulator,Adventure,Simulation,Incremental Simulator,73729,4249375116,6404540,2942434,136736,0.9556,1.5072,0.00150717,0.01614249,2018-03-21,2919,top,True,2018,7
2026-03-19,5361032378,Sol's RNG [ BOSS RAID 2🔥],All,Simulation,Incremental Simulator,41550,1707818232,897752,1262727,128674,0.9075,0.5257,0.00052567,0.00507337,2023-12-03,836,breakout,True,2025,8
2026-03-19,5750914919,Fisch 🍀 [ST. PATRICK'S],Adventure,Simulation,,33011,4315513159,3205761,2778486,298396,0.903,0.7428,0.00074285,0.00697947,2024-03-13,735,breakout,True,2025,9
2026-03-19,372226183,⛩️Flee the Facility💕,Horror,Survival,1 vs All,21702,5457282494,9388131,2616454,227512,0.92,1.7203,0.00172029,0.01580332,2017-07-01,3182,lower_mid,False,,10
2026-03-19,1831550657,🌷 Creatures of Sonaria ✨ Survive Kaiju Animals,All,Roleplay & Avatar Sim,Animal Sim,20356,1855988542,9399007,1272996,104750,0.924,5.0642,0.00506415,0.04642243,2020-06-25,2092,lower_mid,False,,11
2026-03-19,88070565,[🩰] Welcome to Bloxburg,Town and City,Roleplay & Avatar Sim,Life,17843,9845422471,13824789,5543363,733072,0.8832,1.4042,0.00140418,0.01214064,2014-11-04,4153,established,False,,12
2026-03-19,1720936166,All Star Tower Defense,All,Strategy,Tower Defense,17009,7634559318,2296417,1462588,129133,0.9189,0.3008,0.00030079,0.00269247,2020-05-07,2142,established,False,,13
2026-03-19,3317679266,PLS DONATE 💸,All,Social,,15074,4904459632,4117389,3499687,255478,0.932,0.8395,0.00083952,0.00752734,2022-02-05,1502,breakout,True,2024,14
2026-03-19,4777817887,Blade Ball,Fighting,Action,Battlegrounds & Fighting,13940,6027497359,12142536,8052171,554635,0.9356,2.0145,0.00201452,0.01798496,2023-06-17,1006,breakout,True,2024,15
2026-03-19,1235188606,[VEIDREKI] Dragon Adventures 🐉,Adventure,RPG,,11724,1526756905,12416927,1027337,74264,0.9326,8.1329,0.00813288,0.07106377,2019-07-15,2438,mid,False,,16
2026-03-19,210851291,Build A Boat For Treasure,Adventure,Simulation,Sandbox,11605,4931187662,8273922,3515832,252056,0.9331,1.6779,0.00167788,0.0146532,2016-11-02,3423,top,True,2017,17
2026-03-19,321778215,Royale🌼High,All,Roleplay & Avatar Sim,Dress Up,8950,10366101708,13263986,3230640,531232,0.8588,1.2796,0.00127955,0.00999912,2017-04-10,3264,top,True,2018,18
2026-03-19,65241,Natural Disaster Survival,All,Survival,,8796,4161131130,11472350,4261844,430959,0.9082,2.757,0.00275703,0.02274027,2008-03-28,6564,top,True,2014,19
2026-03-19,245662005,Jailbreak,Town and City,Action,Open World Action,8579,7831362510,18522688,5731899,804092,0.877,2.3652,0.00236519,0.01878656,2017-01-06,3358,top,True,2017,20
2026-03-19,5650396773,a dusty trip [🍀SHOP],Adventure,Adventure,,8163,2226806313,1962072,1926461,209976,0.9017,0.8811,0.00088111,0.00715659,2024-02-16,761,mid,False,,21
2026-03-19,73885730,Prison Life,Town and City,Action,Open World Action,7362,2825958957,5786381,1466138,254842,0.8519,2.0476,0.00204758,0.01553232,2014-05-02,4339,established,False,,22
2026-03-19,2440500124,DOORS [NEW BUNDLE 🍀],Adventure,Survival,Escape,7049,7262362734,7702548,4461707,341034,0.929,1.0606,0.00106061,0.00873053,2021-03-14,1831,breakout,True,2022,23
2026-03-19,47545,🍕Work at a Pizza Place,Town and City,Roleplay & Avatar Sim,Life,6303,5440531734,13230295,3359268,259594,0.9283,2.4318,0.0024318,0.01974951,2008-03-28,6564,established,False,,24
2026-03-19,1516533665,Piggy [MYSTERY SKIN QUEST],Horror,Survival,,6206,14112341278,12047603,3948842,429624,0.9019,0.8537,0.00085369,0.0067241,2020-01-23,2247,established,False,,25
2026-03-19,1176784616,🍀 Tower Defense Simulator 🍀,All,Strategy,Tower Defense,6133,4601761374,3359486,1954674,124394,0.9402,0.73,0.00073004,0.00598619,2019-06-05,2478,established,False,,26
2026-03-19,903807016,[👷] Emergency Response: Liberty County,Town and City,Roleplay & Avatar Sim,Life,5545,1448327503,2740153,1133787,112219,0.9099,1.8919,0.00189194,0.01484118,2018-11-01,2694,mid,False,,27
2026-03-19,371263894,Greenville,Town and City,Roleplay & Avatar Sim,Life,5033,1334904943,2555139,987697,140708,0.8753,1.9141,0.0019141,0.0142812,2017-06-28,3185,mid,False,,28
2026-03-19,1359573625,Deepwoken: Ironsworn,RPG,RPG,Action RPG,4829,1511411433,984551,395010,60311,0.8675,0.6514,0.00065141,0.00479375,2019-10-12,2349,mid,False,,29
2026-03-19,111958650,Arsenal,Fighting,Shooter,Deathmatch Shooter,4299,6162762242,11453780,5080844,655994,0.8857,1.8585,0.00185855,0.01377126,2015-08-18,3865,established,False,,30
2026-03-19,31970568,Theme Park Tycoon 2,Building,Simulation,Tycoon,3502,1546798354,5998868,2037049,254742,0.8888,3.8782,0.00387825,0.02813361,2012-01-02,5189,established,False,,31
2026-03-19,113491250,[SPRING UPDATE!] Phantom Forces,FPS,Shooter,Deathmatch Shooter,2290,1756781937,5943983,2448036,247415,0.9082,3.3834,0.00338345,0.02377411,2015-08-31,3852,established,False,,32
2026-03-19,1008451066,Da Hood ,Town and City,Action,Open World Action,2243,2886642564,2982315,1282842,536540,0.7051,1.0331,0.00103314,0.00562086,2019-01-27,2608,established,False,,33
2026-03-19,110181652,Epic Minigames ✨,All,Party & Casual,Minigame,2156,2304868805,8227911,2199783,232832,0.9043,3.5698,0.0035698,0.02478059,2015-07-29,3885,lower_mid,False,,34
2026-03-19,1511883870,Shindo Life [242],All,RPG,Action RPG,2040,2646645011,3004220,2175479,143990,0.9379,1.1351,0.00113511,0.00811382,2020-01-20,2249,established,False,,35
2026-03-19,2404080894,Funky Friday,All,Action,Music & Rhythm,1542,1963886144,4067560,1945026,211352,0.902,2.0712,0.00207118,0.0137152,2021-02-26,1846,lower_mid,False,,36
2026-03-19,848145103,Dungeon Quest! ⚔️ RPG Adventure,Fighting,RPG,Action RPG,1194,2315264909,5763742,1153341,101870,0.9188,2.4895,0.00248945,0.01620839,2018-09-25,2731,mid,False,,37
2026-03-19,2471084,🌳 Lumber Tycoon 2,Adventure,Simulation,Tycoon,1084,1288721149,4571670,2008272,282041,0.8769,3.5474,0.00354745,0.021741,2009-07-30,6075,lower_mid,False,,38
2026-03-19,2316994223,Pet Simulator X! 🐾,All,Simulation,Incremental Simulator,1047,8970012364,5961717,4206971,394609,0.9142,0.6646,0.00066463,0.00422586,2021-01-22,1881,breakout,True,2022,39
2026-03-19,1335695570,⚡Ninja Legends,Fighting,Simulation,Incremental Simulator,996,2138720717,4671119,1600331,130144,0.9248,2.1841,0.00218407,0.01394631,2019-09-22,2369,top,True,2020,40
2026-03-19,83858907,Speed Run 4,Adventure,Obby & Platformer,,816,1718887707,4511165,1024917,363069,0.7384,2.6245,0.00262447,0.01299526,2014-10-20,4167,mid,False,,41
2026-03-19,1424449565,Super Golf!,Sports,Sports & Racing,Sports,567,246000449,953773,308549,78455,0.7973,3.8771,0.00387712,0.01960435,2019-11-29,2302,mid,False,,42
2026-03-19,1434220026,My Restaurant! 👨‍🍳,All,Simulation,Tycoon,566,879319454,2671945,1076292,98824,0.9159,3.0387,0.00303865,0.01764591,2019-12-06,2295,established,False,,43
2026-03-19,1168263273,[🎃] Bad Business | FPS ,FPS,Shooter,Deathmatch Shooter,180,544709941,2179442,776063,131015,0.8556,4.0011,0.00400111,0.0177955,2019-05-29,2485,lower_mid,False,,44
2026-03-19,140239261,🏠 MeepCity 🏠,Town and City,Roleplay & Avatar Sim,,136,16269187391,14758175,2882677,514163,0.8486,0.9071,0.00090712,0.00378749,2016-02-23,3676,top,True,2016,45
2026-03-19,3183403065,[🤹APRIL FOOL'S🤡] AA,All,Strategy,Tower Defense,109,2507252196,1396910,720899,65142,0.9171,0.5571,0.00055715,0.00240183,2021-12-21,1549,established,False,,46
2026-03-19,1077961373,Giant Simulator,All,Simulation,Incremental Simulator,53,163499986,588321,175749,32878,0.8424,3.5983,0.00359829,0.01209153,2019-03-22,2554,lower_mid,False,,47
2026-03-19,81762198,[Sides] Vehicle Simulator,Town and City,Simulation,Vehicle Sim,23,665612729,3375988,1098832,133130,0.8919,5.072,0.005072,0.01437721,2014-08-08,4241,mid,False,,48
2026-03-19,1344222621,malymal91's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2019-09-29,2362,mid,False,,49
2026-03-19,67400893,efrenda's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2014-01-26,4434,lower_mid,False,,50
2026-03-19,1090335239,aleor3210's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2019-03-31,2544,lower_mid,False,,51
2026-03-19,2755335127,####'s Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2021-07-19,1703,lower_mid,False,,52
2026-03-19,4494776745,chgcchfhcfvggjgvhc's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-03-19,1095,mid,False,,53
2026-03-19,4747349896,rgost1's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-06-07,1015,mid,False,,54
2026-03-19,1557606948,ProPro1052's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2020-02-17,2221,mid,False,,55
2026-03-19,498598030,puppyluver112232's Place,All,,,0,0,0,0,0,0.0,0.0,0.0,0.0,2017-12-05,3025,mid,False,,56
2026-03-20,383310974,[🍭] Adopt Me!,RPG,Roleplay & Avatar Sim,Pet Care,389579,42700977250,28645791,8860542,1497666,0.8554,0.6708,0.00067085,0.00738708,2017-07-14,3170,top,True,2019,1
2026-03-20,1686885941,Brookhaven 🏡RP,Town and City,Roleplay & Avatar Sim,Life,309684,80157540610,26610086,7826979,1284714,0.859,0.332,0.00033197,0.00360544,2020-04-21,2159,top,True,2020,2
2026-03-20,994732206,Blox Fruits,Adventure,RPG,Action RPG,300761,59914630763,18276379,11789493,1023271,0.9201,0.305,0.00030504,0.0035405,2019-01-16,2620,top,True,2021,3
